Dato,Asset,RSI,MA10,MA30,Pris,Handling,Forklaring
2025-02-13,XRP-USD,27.2,2.52,2.74,2.56,KJØPTE XRP-USD for 300.0,RSI < 30 og MA10 < MA30
2025-02-13,ETH-USD,29.3,2769.3,3121.44,2675.9,KJØPTE ETH-USD for 210.0,RSI < 30 og MA10 < MA30
2025-02-13,BTC-USD,30.6,97911.48,99382.97,96623.87,Ingen handling,"RSI=30.6, MA10=97911.48, MA30=99382.97 – ingen signaler"
2025-02-13,KOG.OL,6.7,1235.4,1273.37,1139.0,KJØPTE KOG.OL for 147.0,RSI < 30 og MA10 < MA30
2025-02-13,SAAB-B.ST,44.0,228.12,230.23,226.6,Ingen handling,"RSI=44.0, MA10=228.12, MA30=230.23 – ingen signaler"
2025-02-13,NHY.OL,50.2,66.72,66.1,66.74,Ingen handling,"RSI=50.2, MA10=66.72, MA30=66.1 – ingen signaler"
2025-02-14,XRP-USD,38.1,2.5,2.75,2.74,Ingen handling,"RSI=38.1, MA10=2.5, MA30=2.75 – ingen signaler"
2025-02-14,ETH-USD,34.4,2712.09,3097.26,2726.09,Ingen handling,"RSI=34.4, MA10=2712.09, MA30=3097.26 – ingen signaler"
2025-02-14,BTC-USD,38.1,97421.88,99403.71,97508.97,Ingen handling,"RSI=38.1, MA10=97421.88, MA30=99403.71 – ingen signaler"
2025-02-14,KOG.OL,11.4,1215.9,1269.3,1151.0,KJØPTE KOG.OL for 102.9,RSI < 30 og MA10 < MA30
2025-02-14,SAAB-B.ST,57.7,228.54,230.63,244.6,Ingen handling,"RSI=57.7, MA10=228.54, MA30=230.63 – ingen signaler"
2025-02-14,NHY.OL,52.3,66.6,66.17,65.82,Ingen handling,"RSI=52.3, MA10=66.6, MA30=66.17 – ingen signaler"
2025-02-17,XRP-USD,35.5,2.49,2.76,2.66,Ingen handling,"RSI=35.5, MA10=2.49, MA30=2.76 – ingen signaler"
2025-02-17,ETH-USD,37.7,2697.95,3068.54,2743.2,Ingen handling,"RSI=37.7, MA10=2697.95, MA30=3068.54 – ingen signaler"
2025-02-17,BTC-USD,36.3,96858.67,99325.91,95773.38,Ingen handling,"RSI=36.3, MA10=96858.67, MA30=99325.91 – ingen signaler"
2025-02-17,KOG.OL,32.3,1205.1,1268.6,1230.0,Ingen handling,"RSI=32.3, MA10=1205.1, MA30=1268.6 – ingen signaler"
2025-02-17,SAAB-B.ST,72.8,232.62,232.36,284.15,Ingen handling,"RSI=72.8, MA10=232.62, MA30=232.36 – ingen signaler"
2025-02-17,NHY.OL,57.9,66.75,66.33,67.52,Ingen handling,"RSI=57.9, MA10=66.75, MA30=66.33 – ingen signaler"
2025-02-18,XRP-USD,32.8,2.49,2.77,2.56,Ingen handling,"RSI=32.8, MA10=2.49, MA30=2.77 – ingen signaler"
2025-02-18,ETH-USD,34.2,2691.38,3044.79,2669.34,Ingen handling,"RSI=34.2, MA10=2691.38, MA30=3044.79 – ingen signaler"
2025-02-18,BTC-USD,27.4,96625.44,99279.8,95539.55,KJØPTE BTC-USD for 72.03,RSI < 30 og MA10 < MA30
2025-02-18,KOG.OL,32.9,1197.0,1268.23,1245.0,Ingen handling,"RSI=32.9, MA10=1197.0, MA30=1268.23 – ingen signaler"
2025-02-18,SAAB-B.ST,73.0,237.46,234.33,286.0,Ingen handling,"RSI=73.0, MA10=237.46, MA30=234.33 – ingen signaler"
2025-02-18,NHY.OL,48.3,66.7,66.43,65.88,Ingen handling,"RSI=48.3, MA10=66.7, MA30=66.43 – ingen signaler"
2025-02-19,XRP-USD,37.8,2.53,2.78,2.74,Ingen handling,"RSI=37.8, MA10=2.53, MA30=2.78 – ingen signaler"
2025-02-19,ETH-USD,29.7,2684.18,3024.44,2715.77,KJØPTE ETH-USD for 50.42,RSI < 30 og MA10 < MA30
2025-02-19,BTC-USD,27.7,96627.46,99332.87,96635.61,KJØPTE BTC-USD for 35.29,RSI < 30 og MA10 < MA30
2025-02-19,KOG.OL,40.5,1194.1,1267.33,1281.0,Ingen handling,"RSI=40.5, MA10=1194.1, MA30=1267.33 – ingen signaler"
2025-02-19,SAAB-B.ST,74.4,243.04,236.31,294.15,Ingen handling,"RSI=74.4, MA10=243.04, MA30=236.31 – ingen signaler"
2025-02-19,NHY.OL,43.6,66.7,66.54,66.06,Ingen handling,"RSI=43.6, MA10=66.7, MA30=66.54 – ingen signaler"
2025-02-20,XRP-USD,38.9,2.57,2.79,2.69,Ingen handling,"RSI=38.9, MA10=2.57, MA30=2.79 – ingen signaler"
2025-02-20,ETH-USD,28.3,2689.38,3008.47,2740.39,KJØPTE ETH-USD for 24.71,RSI < 30 og MA10 < MA30
2025-02-20,BTC-USD,38.4,96801.52,99527.87,98333.94,Ingen handling,"RSI=38.4, MA10=96801.52, MA30=99527.87 – ingen signaler"
2025-02-20,KOG.OL,41.6,1194.0,1268.13,1285.0,Ingen handling,"RSI=41.6, MA10=1194.0, MA30=1268.13 – ingen signaler"
2025-02-20,SAAB-B.ST,73.0,249.69,238.33,294.05,Ingen handling,"RSI=73.0, MA10=249.69, MA30=238.33 – ingen signaler"
2025-02-20,NHY.OL,52.8,66.61,66.65,67.76,Ingen handling,"RSI=52.8, MA10=66.61, MA30=66.65 – ingen signaler"
2025-02-21,XRP-USD,45.1,2.58,2.8,2.57,Ingen handling,"RSI=45.1, MA10=2.58, MA30=2.8 – ingen signaler"
2025-02-21,ETH-USD,38.2,2693.12,2988.21,2659.66,Ingen handling,"RSI=38.2, MA10=2693.12, MA30=2988.21 – ingen signaler"
