Dato,Asset,RSI,MA10,MA30,Pris,Handling,Forklaring
2025-02-21,BTC-USD,35.9,96761.17,99575.34,96125.55,Ingen handling,"RSI=35.9, MA10=96761.17, MA30=99575.34 – ingen signaler"
2025-02-21,KOG.OL,49.9,1206.9,1271.13,1337.0,Ingen handling,"RSI=49.9, MA10=1206.9, MA30=1271.13 – ingen signaler"
2025-02-21,SAAB-B.ST,73.0,258.04,240.55,296.85,Ingen handling,"RSI=73.0, MA10=258.04, MA30=240.55 – ingen signaler"
2025-02-21,NHY.OL,51.4,66.48,66.72,66.44,Ingen handling,"RSI=51.4, MA10=66.48, MA30=66.72 – ingen signaler"
2025-02-24,XRP-USD,41.2,2.57,2.79,2.28,Ingen handling,"RSI=41.2, MA10=2.57, MA30=2.79 – ingen signaler"
2025-02-24,ETH-USD,38.4,2678.39,2967.49,2513.82,Ingen handling,"RSI=38.4, MA10=2678.39, MA30=2967.49 – ingen signaler"
2025-02-24,BTC-USD,33.8,96159.23,99472.06,91418.17,Ingen handling,"RSI=33.8, MA10=96159.23, MA30=99472.06 – ingen signaler"
2025-02-24,KOG.OL,49.9,1226.1,1274.67,1325.0,Ingen handling,"RSI=49.9, MA10=1226.1, MA30=1274.67 – ingen signaler"
2025-02-24,SAAB-B.ST,77.3,266.2,242.89,299.7,Ingen handling,"RSI=77.3, MA10=266.2, MA30=242.89 – ingen signaler"
2025-02-24,NHY.OL,51.4,66.44,66.77,66.78,Ingen handling,"RSI=51.4, MA10=66.44, MA30=66.77 – ingen signaler"
2025-02-25,XRP-USD,47.7,2.56,2.78,2.32,Ingen handling,"RSI=47.7, MA10=2.56, MA30=2.78 – ingen signaler"
2025-02-25,ETH-USD,34.0,2667.47,2943.15,2493.59,Ingen handling,"RSI=34.0, MA10=2667.47, MA30=2943.15 – ingen signaler"
2025-02-25,BTC-USD,31.5,95458.11,99212.13,88736.17,Ingen handling,"RSI=31.5, MA10=95458.11, MA30=99212.13 – ingen signaler"
2025-02-25,KOG.OL,54.6,1247.6,1278.47,1348.0,Ingen handling,"RSI=54.6, MA10=1247.6, MA30=1278.47 – ingen signaler"
2025-02-25,SAAB-B.ST,79.1,275.38,245.5,310.05,Ingen handling,"RSI=79.1, MA10=275.38, MA30=245.5 – ingen signaler"
2025-02-25,NHY.OL,51.8,66.53,66.81,66.62,Ingen handling,"RSI=51.8, MA10=66.53, MA30=66.81 – ingen signaler"
2025-02-26,XRP-USD,45.3,2.53,2.75,2.19,Ingen handling,"RSI=45.3, MA10=2.53, MA30=2.75 – ingen signaler"
2025-02-26,ETH-USD,31.8,2626.92,2905.85,2331.45,Ingen handling,"RSI=31.8, MA10=2626.92, MA30=2905.85 – ingen signaler"
2025-02-26,BTC-USD,26.2,94104.22,98673.55,84347.02,KJØPTE BTC-USD for 17.29,RSI < 30 og MA10 < MA30
2025-02-26,KOG.OL,59.9,1270.8,1282.83,1367.0,Ingen handling,"RSI=59.9, MA10=1270.8, MA30=1282.83 – ingen signaler"
2025-02-26,SAAB-B.ST,86.1,284.54,248.04,309.2,Ingen handling,"RSI=86.1, MA10=284.54, MA30=248.04 – ingen signaler"
2025-02-26,NHY.OL,46.0,66.72,66.83,67.54,Ingen handling,"RSI=46.0, MA10=66.72, MA30=66.83 – ingen signaler"
2025-02-27,XRP-USD,42.9,2.49,2.72,2.2,Ingen handling,"RSI=42.9, MA10=2.49, MA30=2.72 – ingen signaler"
2025-02-27,ETH-USD,33.1,2589.88,2872.42,2305.48,Ingen handling,"RSI=33.1, MA10=2589.88, MA30=2872.42 – ingen signaler"
2025-02-27,BTC-USD,27.3,92912.26,98171.79,84704.23,KJØPTE BTC-USD for 12.11,RSI < 30 og MA10 < MA30
2025-02-27,KOG.OL,69.3,1291.4,1286.33,1345.0,Ingen handling,"RSI=69.3, MA10=1291.4, MA30=1286.33 – ingen signaler"
2025-02-27,SAAB-B.ST,98.5,293.7,250.78,318.2,Ingen handling,"RSI=98.5, MA10=293.7, MA30=250.78 – ingen signaler"
2025-02-27,NHY.OL,46.6,66.73,66.82,66.92,Ingen handling,"RSI=46.6, MA10=66.73, MA30=66.82 – ingen signaler"
2025-02-28,XRP-USD,40.0,2.44,2.68,2.15,Ingen handling,"RSI=40.0, MA10=2.44, MA30=2.68 – ingen signaler"
2025-02-28,ETH-USD,28.1,2541.06,2831.22,2237.91,KJØPTE ETH-USD for 8.47,RSI < 30 og MA10 < MA30
2025-02-28,BTC-USD,24.3,91598.66,97502.16,84373.01,KJØPTE BTC-USD for 5.93,RSI < 30 og MA10 < MA30
2025-02-28,KOG.OL,88.7,1312.8,1290.0,1365.0,SOLGTE KOG.OL for 298.2,RSI > 70 og MA10 > MA30
2025-02-28,SAAB-B.ST,98.4,301.19,253.98,319.55,Ingen handling,"RSI=98.4, MA10=301.19, MA30=253.98 – ingen signaler"
2025-02-28,NHY.OL,46.2,66.77,66.74,66.22,Ingen handling,"RSI=46.2, MA10=66.77, MA30=66.74 – ingen signaler"
2025-03-03,XRP-USD,49.1,2.41,2.65,2.39,Ingen handling,"RSI=49.1, MA10=2.41, MA30=2.65 – ingen signaler"
2025-03-03,ETH-USD,27.2,2481.3,2793.47,2145.57,KJØPTE ETH-USD for 93.61,RSI < 30 og MA10 < MA30
2025-03-03,BTC-USD,31.0,90627.89,96970.46,86065.67,Ingen handling,"RSI=31.0, MA10=90627.89, MA30=96970.46 – ingen signaler"
2025-03-03,KOG.OL,93.4,1348.0,1300.2,1582.0,Ingen handling,"RSI=93.4, MA10=1348.0, MA30=1300.2 – ingen signaler"
2025-03-03,SAAB-B.ST,98.8,308.42,258.44,356.5,Ingen handling,"RSI=98.8, MA10=308.42, MA30=258.44 – ingen signaler"
2025-03-03,NHY.OL,56.4,66.75,66.67,67.26,Ingen handling,"RSI=56.4, MA10=66.75, MA30=66.67 – ingen signaler"
2025-03-04,XRP-USD,49.5,2.4,2.63,2.46,Ingen handling,"RSI=49.5, MA10=2.4, MA30=2.63 – ingen signaler"
2025-03-04,ETH-USD,18.2,2431.37,2754.89,2170.02,KJØPTE ETH-USD for 65.53,RSI < 30 og MA10 < MA30
2025-03-04,BTC-USD,28.2,89796.16,96339.66,87222.2,KJØPTE BTC-USD for 45.87,RSI < 30 og MA10 < MA30
2025-03-04,KOG.OL,90.9,1380.3,1309.3,1568.0,Ingen handling,"RSI=90.9, MA10=1380.3, MA30=1309.3 – ingen signaler"
2025-03-04,SAAB-B.ST,93.3,314.57,262.37,347.45,Ingen handling,"RSI=93.3, MA10=314.57, MA30=262.37 – ingen signaler"
2025-03-04,NHY.OL,43.6,66.53,66.54,63.68,Ingen handling,"RSI=43.6, MA10=66.53, MA30=66.54 – ingen signaler"
2025-03-05,XRP-USD,48.0,2.37,2.61,2.5,Ingen handling,"RSI=48.0, MA10=2.37, MA30=2.61 – ingen signaler"
2025-03-05,ETH-USD,26.0,2383.99,2721.61,2241.98,KJØPTE ETH-USD for 32.11,RSI < 30 og MA10 < MA30
2025-03-05,BTC-USD,38.7,89194.95,95905.34,90623.56,Ingen handling,"RSI=38.7, MA10=89194.95, MA30=95905.34 – ingen signaler"
2025-03-05,KOG.OL,91.8,1415.1,1318.93,1629.0,Ingen handling,"RSI=91.8, MA10=1415.1, MA30=1318.93 – ingen signaler"
2025-03-05,SAAB-B.ST,93.8,322.03,267.03,368.7,Ingen handling,"RSI=93.8, MA10=322.03, MA30=267.03 – ingen signaler"
2025-03-05,NHY.OL,50.3,66.61,66.55,66.84,Ingen handling,"RSI=50.3, MA10=66.61, MA30=66.55 – ingen signaler"
2025-03-06,XRP-USD,45.4,2.36,2.59,2.6,Ingen handling,"RSI=45.4, MA10=2.36, MA30=2.59 – ingen signaler"
2025-03-06,ETH-USD,20.7,2330.2,2683.87,2202.48,KJØPTE ETH-USD for 22.48,RSI < 30 og MA10 < MA30
2025-03-06,BTC-USD,35.7,88357.73,95438.72,89961.73,Ingen handling,"RSI=35.7, MA10=88357.73, MA30=95438.72 – ingen signaler"
2025-03-06,KOG.OL,89.5,1448.1,1327.07,1615.0,Ingen handling,"RSI=89.5, MA10=1448.1, MA30=1327.07 – ingen signaler"
2025-03-06,SAAB-B.ST,93.4,330.12,271.7,375.0,Ingen handling,"RSI=93.4, MA10=330.12, MA30=271.7 – ingen signaler"
2025-03-06,NHY.OL,63.0,66.98,66.71,71.48,Ingen handling,"RSI=63.0, MA10=66.98, MA30=66.71 – ingen signaler"
2025-03-07,XRP-USD,41.6,2.35,2.57,2.38,Ingen handling,"RSI=41.6, MA10=2.35, MA30=2.57 – ingen signaler"
2025-03-07,ETH-USD,17.8,2278.13,2644.85,2138.99,KJØPTE ETH-USD for 15.73,RSI < 30 og MA10 < MA30
2025-03-07,BTC-USD,33.8,87419.44,94836.16,86742.67,Ingen handling,"RSI=33.8, MA10=87419.44, MA30=94836.16 – ingen signaler"
2025-03-07,KOG.OL,79.3,1470.4,1333.4,1560.0,Ingen handling,"RSI=79.3, MA10=1470.4, MA30=1333.4 – ingen signaler"
2025-03-07,SAAB-B.ST,79.8,336.38,275.89,359.45,Ingen handling,"RSI=79.8, MA10=336.38, MA30=275.89 – ingen signaler"
2025-03-07,NHY.OL,56.5,67.36,66.83,70.26,Ingen handling,"RSI=56.5, MA10=67.36, MA30=66.83 – ingen signaler"
2025-03-10,XRP-USD,35.9,2.32,2.53,2.02,Ingen handling,"RSI=35.9, MA10=2.32, MA30=2.53 – ingen signaler"
2025-03-10,ETH-USD,14.6,2212.86,2600.93,1861.15,KJØPTE ETH-USD for 11.01,RSI < 30 og MA10 < MA30
2025-03-10,BTC-USD,26.3,86130.83,94050.97,78532.0,KJØPTE BTC-USD for 7.71,RSI < 30 og MA10 < MA30
2025-03-10,KOG.OL,72.1,1488.9,1338.57,1510.0,Ingen handling,"RSI=72.1, MA10=1488.9, MA30=1338.57 – ingen signaler"
2025-03-10,SAAB-B.ST,80.9,343.29,280.42,368.8,Ingen handling,"RSI=80.9, MA10=343.29, MA30=280.42 – ingen signaler"
2025-03-10,NHY.OL,53.4,67.42,66.9,67.4,Ingen handling,"RSI=53.4, MA10=67.42, MA30=66.9 – ingen signaler"
2025-03-11,XRP-USD,34.7,2.3,2.5,2.17,Ingen handling,"RSI=34.7, MA10=2.3, MA30=2.5 – ingen signaler"
2025-03-11,ETH-USD,15.6,2155.49,2562.35,1919.84,KJØPTE ETH-USD for 5.4,RSI < 30 og MA10 < MA30
2025-03-11,BTC-USD,32.4,85543.43,93435.3,82862.21,Ingen handling,"RSI=32.4, MA10=85543.43, MA30=93435.3 – ingen signaler"
2025-03-11,KOG.OL,72.1,1508.6,1345.1,1545.0,Ingen handling,"RSI=72.1, MA10=1508.6, MA30=1345.1 – ingen signaler"
2025-03-11,SAAB-B.ST,81.8,350.63,285.48,383.4,Ingen handling,"RSI=81.8, MA10=350.63, MA30=285.48 – ingen signaler"
2025-03-11,NHY.OL,53.9,67.54,66.99,67.84,Ingen handling,"RSI=53.9, MA10=67.54, MA30=66.99 – ingen signaler"
2025-03-12,XRP-USD,38.2,2.31,2.47,2.24,Ingen handling,"RSI=38.2, MA10=2.31, MA30=2.47 – ingen signaler"
2025-03-12,ETH-USD,13.6,2113.24,2522.22,1908.98,KJØPTE ETH-USD for 3.78,RSI < 30 og MA10 < MA30
2025-03-12,BTC-USD,30.9,85480.96,92769.27,83722.36,Ingen handling,"RSI=30.9, MA10=85480.96, MA30=92769.27 – ingen signaler"
2025-03-12,KOG.OL,71.4,1526.0,1351.1,1541.0,Ingen handling,"RSI=71.4, MA10=1526.0, MA30=1351.1 – ingen signaler"
2025-03-12,SAAB-B.ST,82.5,358.56,290.67,388.5,Ingen handling,"RSI=82.5, MA10=358.56, MA30=290.67 – ingen signaler"
2025-03-12,NHY.OL,47.3,67.45,66.99,66.58,Ingen handling,"RSI=47.3, MA10=67.45, MA30=66.99 – ingen signaler"
2025-03-13,XRP-USD,41.1,2.31,2.44,2.25,Ingen handling,"RSI=41.1, MA10=2.31, MA30=2.44 – ingen signaler"
2025-03-13,ETH-USD,14.0,2068.99,2476.06,1862.97,KJØPTE ETH-USD for 2.64,RSI < 30 og MA10 < MA30
2025-03-13,BTC-USD,30.5,85117.21,91980.32,81066.7,Ingen handling,"RSI=30.5, MA10=85117.21, MA30=91980.32 – ingen signaler"
2025-03-13,KOG.OL,70.6,1549.2,1358.67,1577.0,Ingen handling,"RSI=70.6, MA10=1549.2, MA30=1358.67 – ingen signaler"
2025-03-13,SAAB-B.ST,75.0,364.24,295.35,375.0,Ingen handling,"RSI=75.0, MA10=364.24, MA30=295.35 – ingen signaler"
2025-03-13,NHY.OL,52.9,67.53,66.99,67.7,Ingen handling,"RSI=52.9, MA10=67.53, MA30=66.99 – ingen signaler"
2025-03-14,XRP-USD,52.4,2.34,2.42,2.36,Ingen handling,"RSI=52.4, MA10=2.34, MA30=2.42 – ingen signaler"
2025-03-14,ETH-USD,20.0,2036.14,2429.76,1909.47,KJØPTE ETH-USD for 1.85,RSI < 30 og MA10 < MA30
2025-03-14,BTC-USD,39.9,85076.82,91365.79,83969.1,Ingen handling,"RSI=39.9, MA10=85076.82, MA30=91365.79 – ingen signaler"
2025-03-14,KOG.OL,75.3,1577.8,1368.83,1651.0,Ingen handling,"RSI=75.3, MA10=1577.8, MA30=1368.83 – ingen signaler"
2025-03-14,SAAB-B.ST,78.1,372.28,300.67,399.95,Ingen handling,"RSI=78.1, MA10=372.28, MA30=300.67 – ingen signaler"
2025-03-14,NHY.OL,51.8,67.66,67.01,67.58,Ingen handling,"RSI=51.8, MA10=67.66, MA30=67.01 – ingen signaler"
2025-03-17,XRP-USD,50.6,2.33,2.41,2.34,Ingen handling,"RSI=50.6, MA10=2.33, MA30=2.41 – ingen signaler"
2025-03-17,ETH-USD,21.8,2014.29,2397.84,1927.0,KJØPTE ETH-USD for 1.3,RSI < 30 og MA10 < MA30
2025-03-17,BTC-USD,43.2,84877.82,90788.13,84075.69,Ingen handling,"RSI=43.2, MA10=84877.82, MA30=90788.13 – ingen signaler"
2025-03-17,KOG.OL,75.3,1587.0,1380.03,1674.0,Ingen handling,"RSI=75.3, MA10=1587.0, MA30=1380.03 – ingen signaler"
2025-03-17,SAAB-B.ST,77.6,377.2,306.08,405.7,Ingen handling,"RSI=77.6, MA10=377.2, MA30=306.08 – ingen signaler"
2025-03-17,NHY.OL,54.8,67.82,67.1,68.8,Ingen handling,"RSI=54.8, MA10=67.82, MA30=67.1 – ingen signaler"
2025-03-18,XRP-USD,53.1,2.31,2.4,2.29,Ingen handling,"RSI=53.1, MA10=2.31, MA30=2.4 – ingen signaler"
2025-03-18,ETH-USD,26.5,1990.54,2371.09,1932.54,KJØPTE ETH-USD for 0.91,RSI < 30 og MA10 < MA30
2025-03-18,BTC-USD,47.4,84427.45,90283.02,82718.5,Ingen handling,"RSI=47.4, MA10=84427.45, MA30=90283.02 – ingen signaler"
2025-03-18,KOG.OL,67.2,1590.8,1389.37,1606.0,Ingen handling,"RSI=67.2, MA10=1590.8, MA30=1389.37 – ingen signaler"
2025-03-18,SAAB-B.ST,78.7,383.61,311.88,411.55,Ingen handling,"RSI=78.7, MA10=383.61, MA30=311.88 – ingen signaler"
2025-03-18,NHY.OL,54.2,68.39,67.21,69.44,Ingen handling,"RSI=54.2, MA10=68.39, MA30=67.21 – ingen signaler"
2025-03-19,XRP-USD,59.9,2.32,2.41,2.55,Ingen handling,"RSI=59.9, MA10=2.32, MA30=2.41 – ingen signaler"
2025-03-19,ETH-USD,36.9,1972.12,2346.76,2057.75,Ingen handling,"RSI=36.9, MA10=1972.12, MA30=2346.76 – ingen signaler"
2025-03-19,BTC-USD,53.1,84050.52,89957.64,86854.23,Ingen handling,"RSI=53.1, MA10=84050.52, MA30=89957.64 – ingen signaler"
2025-03-19,KOG.OL,70.2,1590.3,1399.83,1624.0,Ingen handling,"RSI=70.2, MA10=1590.3, MA30=1399.83 – ingen signaler"
2025-03-19,SAAB-B.ST,68.6,385.7,316.92,389.6,Ingen handling,"RSI=68.6, MA10=385.7, MA30=316.92 – ingen signaler"
2025-03-19,NHY.OL,55.8,68.65,67.32,69.46,Ingen handling,"RSI=55.8, MA10=68.65, MA30=67.32 – ingen signaler"
2025-03-20,XRP-USD,58.0,2.3,2.41,2.43,Ingen handling,"RSI=58.0, MA10=2.3, MA30=2.41 – ingen signaler"
2025-03-20,ETH-USD,36.6,1950.08,2323.22,1982.1,Ingen handling,"RSI=36.6, MA10=1950.08, MA30=2323.22 – ingen signaler"
2025-03-20,BTC-USD,49.7,83471.07,89543.44,84167.2,Ingen handling,"RSI=49.7, MA10=83471.07, MA30=89543.44 – ingen signaler"
2025-03-20,KOG.OL,66.3,1588.1,1410.07,1593.0,Ingen handling,"RSI=66.3, MA10=1588.1, MA30=1410.07 – ingen signaler"
2025-03-20,SAAB-B.ST,68.3,387.12,322.31,389.3,Ingen handling,"RSI=68.3, MA10=387.12, MA30=322.31 – ingen signaler"
2025-03-20,NHY.OL,54.2,68.32,67.3,68.14,Ingen handling,"RSI=54.2, MA10=68.32, MA30=67.3 – ingen signaler"
2025-03-21,XRP-USD,49.8,2.3,2.41,2.38,Ingen handling,"RSI=49.8, MA10=2.3, MA30=2.41 – ingen signaler"
2025-03-21,ETH-USD,39.7,1932.67,2301.3,1964.85,Ingen handling,"RSI=39.7, MA10=1932.67, MA30=2301.3 – ingen signaler"
2025-03-21,BTC-USD,47.2,83201.12,89127.25,84043.24,Ingen handling,"RSI=47.2, MA10=83201.12, MA30=89127.25 – ingen signaler"
2025-03-21,KOG.OL,49.0,1589.3,1422.2,1572.0,Ingen handling,"RSI=49.0, MA10=1589.3, MA30=1422.2 – ingen signaler"
2025-03-21,SAAB-B.ST,57.2,389.18,327.87,380.05,Ingen handling,"RSI=57.2, MA10=389.18, MA30=327.87 – ingen signaler"
2025-03-21,NHY.OL,47.5,67.9,67.25,66.08,Ingen handling,"RSI=47.5, MA10=67.9, MA30=67.25 – ingen signaler"
2025-03-24,XRP-USD,49.8,2.35,2.41,2.45,Ingen handling,"RSI=49.8, MA10=2.35, MA30=2.41 – ingen signaler"
2025-03-24,ETH-USD,45.2,1954.3,2281.85,2077.48,Ingen handling,"RSI=45.2, MA10=1954.3, MA30=2281.85 – ingen signaler"
2025-03-24,BTC-USD,50.4,84097.81,88795.96,87498.91,Ingen handling,"RSI=50.4, MA10=84097.81, MA30=88795.96 – ingen signaler"
2025-03-24,KOG.OL,49.4,1594.5,1436.5,1562.0,Ingen handling,"RSI=49.4, MA10=1594.5, MA30=1436.5 – ingen signaler"
2025-03-24,SAAB-B.ST,64.5,392.01,333.84,397.1,Ingen handling,"RSI=64.5, MA10=392.01, MA30=333.84 – ingen signaler"
2025-03-24,NHY.OL,57.3,67.83,67.23,66.72,Ingen handling,"RSI=57.3, MA10=67.83, MA30=67.23 – ingen signaler"
2025-03-25,XRP-USD,48.5,2.37,2.41,2.45,Ingen handling,"RSI=48.5, MA10=2.37, MA30=2.41 – ingen signaler"
2025-03-25,ETH-USD,40.4,1969.09,2264.01,2067.76,Ingen handling,"RSI=40.4, MA10=1969.09, MA30=2264.01 – ingen signaler"
2025-03-25,BTC-USD,45.5,84558.76,88520.1,87471.7,Ingen handling,"RSI=45.5, MA10=84558.76, MA30=88520.1 – ingen signaler"
2025-03-25,KOG.OL,41.7,1595.5,1450.57,1555.0,Ingen handling,"RSI=41.7, MA10=1595.5, MA30=1450.57 – ingen signaler"
2025-03-25,SAAB-B.ST,60.7,393.85,339.95,401.7,Ingen handling,"RSI=60.7, MA10=393.85, MA30=339.95 – ingen signaler"
2025-03-25,NHY.OL,49.4,67.71,67.26,66.62,Ingen handling,"RSI=49.4, MA10=67.71, MA30=67.26 – ingen signaler"
2025-03-26,XRP-USD,42.1,2.38,2.41,2.35,Ingen handling,"RSI=42.1, MA10=2.38, MA30=2.41 – ingen signaler"
2025-03-26,ETH-USD,39.6,1979.11,2239.76,2009.19,Ingen handling,"RSI=39.6, MA10=1979.11, MA30=2239.76 – ingen signaler"
2025-03-26,BTC-USD,45.6,84876.62,88153.93,86900.88,Ingen handling,"RSI=45.6, MA10=84876.62, MA30=88153.93 – ingen signaler"
2025-03-26,KOG.OL,46.4,1599.6,1465.47,1582.0,Ingen handling,"RSI=46.4, MA10=1599.6, MA30=1465.47 – ingen signaler"
2025-03-26,SAAB-B.ST,57.6,394.8,345.96,398.05,Ingen handling,"RSI=57.6, MA10=394.8, MA30=345.96 – ingen signaler"
2025-03-26,NHY.OL,29.3,67.63,67.26,65.72,Ingen handling,"RSI=29.3, MA10=67.63, MA30=67.26 – ingen signaler"
2025-03-27,XRP-USD,48.4,2.39,2.4,2.34,Ingen handling,"RSI=48.4, MA10=2.39, MA30=2.4 – ingen signaler"
2025-03-27,ETH-USD,42.1,1993.05,2217.31,2002.36,Ingen handling,"RSI=42.1, MA10=1993.05, MA30=2217.31 – ingen signaler"
2025-03-27,BTC-USD,50.7,85487.66,87839.04,87177.1,Ingen handling,"RSI=50.7, MA10=85487.66, MA30=87839.04 – ingen signaler"
2025-03-27,KOG.OL,50.1,1598.0,1479.53,1561.0,Ingen handling,"RSI=50.1, MA10=1598.0, MA30=1479.53 – ingen signaler"
2025-03-27,SAAB-B.ST,65.8,397.73,351.89,404.3,Ingen handling,"RSI=65.8, MA10=397.73, MA30=351.89 – ingen signaler"
2025-03-27,NHY.OL,26.5,67.16,67.14,63.0,Ingen handling,"RSI=26.5, MA10=67.16, MA30=67.14 – ingen signaler"
2025-03-28,XRP-USD,58.1,2.38,2.38,2.2,Ingen handling,"RSI=58.1, MA10=2.38, MA30=2.38 – ingen signaler"
2025-03-28,ETH-USD,52.5,1991.65,2189.62,1895.5,Ingen handling,"RSI=52.5, MA10=1991.65, MA30=2189.62 – ingen signaler"
2025-03-28,BTC-USD,61.1,85526.06,87400.51,84353.15,Ingen handling,"RSI=61.1, MA10=85526.06, MA30=87400.51 – ingen signaler"
2025-03-28,KOG.OL,50.4,1584.2,1491.6,1513.0,Ingen handling,"RSI=50.4, MA10=1584.2, MA30=1491.6 – ingen signaler"
2025-03-28,SAAB-B.ST,58.1,396.96,356.81,392.25,Ingen handling,"RSI=58.1, MA10=396.96, MA30=356.81 – ingen signaler"
