Dato,Asset,RSI,MA10,MA30,Pris,Handling,Forklaring
2025-02-28,KOG.OL,88.7,1312.8,1290.0,1365.0,SOLGTE KOG.OL for 355.78,RSI > 70 og MA10 > MA30
2025-02-28,NHY.OL,46.2,66.77,66.74,66.22,Ingen handling,
2025-02-28,SAAB-B.ST,98.4,301.19,253.98,319.55,Ingen handling,
2025-03-03,BTC-USD,31.0,90627.89,96970.46,86065.67,Ingen handling,
2025-03-03,ETH-USD,27.2,2481.3,2793.47,2145.57,KJØPTE ETH-USD for 118.84,RSI < 30 og MA10 < MA30
2025-03-03,XRP-USD,49.1,2.41,2.65,2.39,Ingen handling,
2025-03-03,KOG.OL,93.4,1348.0,1300.2,1582.0,Ingen handling,
2025-03-03,NHY.OL,56.4,66.75,66.67,67.26,Ingen handling,
2025-03-03,SAAB-B.ST,98.8,308.42,258.44,356.5,Ingen handling,
2025-03-04,BTC-USD,28.2,89796.16,96339.66,87222.2,KJØPTE BTC-USD for 83.19,RSI < 30 og MA10 < MA30
2025-03-04,ETH-USD,18.2,2431.37,2754.89,2170.02,KJØPTE ETH-USD for 58.23,RSI < 30 og MA10 < MA30
2025-03-04,XRP-USD,49.5,2.4,2.63,2.46,Ingen handling,
2025-03-04,KOG.OL,90.9,1380.3,1309.3,1568.0,Ingen handling,
2025-03-04,NHY.OL,43.6,66.53,66.54,63.68,Ingen handling,
2025-03-04,SAAB-B.ST,93.3,314.57,262.37,347.45,Ingen handling,
2025-03-05,BTC-USD,38.7,89194.95,95905.34,90623.56,Ingen handling,
2025-03-05,ETH-USD,26.0,2383.99,2721.61,2241.98,KJØPTE ETH-USD for 40.76,RSI < 30 og MA10 < MA30
2025-03-05,XRP-USD,48.0,2.37,2.61,2.5,Ingen handling,
2025-03-05,KOG.OL,91.8,1415.1,1318.93,1629.0,Ingen handling,
2025-03-05,NHY.OL,50.3,66.61,66.55,66.84,Ingen handling,
2025-03-05,SAAB-B.ST,93.8,322.03,267.03,368.7,Ingen handling,
2025-03-06,BTC-USD,35.7,88357.73,95438.72,89961.73,Ingen handling,
2025-03-06,ETH-USD,20.7,2330.2,2683.87,2202.48,KJØPTE ETH-USD for 28.53,RSI < 30 og MA10 < MA30
2025-03-06,XRP-USD,45.4,2.36,2.59,2.6,Ingen handling,
2025-03-06,KOG.OL,89.5,1448.1,1327.07,1615.0,Ingen handling,
2025-03-06,NHY.OL,63.0,66.98,66.71,71.48,Ingen handling,
2025-03-06,SAAB-B.ST,93.4,330.12,271.7,375.0,Ingen handling,
2025-03-07,BTC-USD,33.8,87419.44,94836.16,86742.67,Ingen handling,
